Date,__,____,____,temp,____,___(mm),__,__,______(hPa),_____(℃),____(10%),____(hr),_____(�B),____,____,______
1996.03,4.9,9.5,17.5,1,-3.8,77.9,54,9,"1,018.40",-5,5.2,189.8,-,2.7,8,…
1996.04,10.2,15.1,23.3,5.9,0.9,62,52,11,"1,017.40",0.6,3.8,247.4,-,3,7.3,…
1996.05,18.4,24.2,31.4,13.3,9.8,29.3,58,13,"1,012.20",9,4.2,264,-,2.2,7,…
1996.06,22.3,26.5,32.7,19.1,15.1,249.7,75,27,"1,006.30",17.1,8.1,129.5,-,1.9,11.7,…
1996.07,24.4,28.3,34.6,21.2,16.6,512.8,76,34,"1,008.10",19.4,7.6,146.2,-,1.9,7.3,…
1996.08,26,29.8,35.4,22.9,17.6,132.4,73,31,"1,008.90",20.5,6.2,140.7,-,1.7,6,…
1996.09,22,27.3,30.9,17.5,11.6,11,66,19,"1,013.40",14.5,3.9,211,-,1.8,6,…
1996.1,14.5,19.4,23.8,10,0.4,90.3,63,14,"1,018.90",6.7,4.3,175.8,-,2,8,…
1996.11,6.1,10.3,18.8,2.4,8,62.9,64,17,"1,022.70",-1.1,4.5,148.8,3.5,2.2,9.7,…
1996.12,1.6,6,12.7,-2.5,-10.5,11,59,16,"1,022.80",-6.4,3.6,146.2,-,2.2,10,…
1997.01,-3.3,1.2,8,-7.1,-13.7,16.8,58,21,"1,023.30",-11,3.2,148.1,4.2,2.6,12.3,…
1997.02,0.7,5.6,15.1,-3.5,-8.1,39.6,54,12,"1,023.10",-8.4,2.6,188.8,0.6,2.6,11.2,…
1997.03,6.8,11.8,20.2,2.5,-4.3,25.3,56,19,"1,021.50",-2.1,3.2,226.3,0,2.8,12.7,…
1997.04,13,18.1,22.3,8.4,2.7,56.1,55,15,"1,016.00",2.9,3.8,227.1,0,2.7,11,…
1997.05,17,21.5,27.9,12.9,8.8,291.3,66,17,"1,008.10",9.9,6.3,173.4,0,2.5,9.3,…
1997.06,23.4,28.5,35,18.9,12.4,110,65,25,"1,007.60",15.9,4.8,227.8,0,2.1,8.8,…
1997.07,26.1,30.1,36.1,22.8,18.1,299.6,80,27,"1,006.80",22.2,5.8,168.4,0,1.9,7.3,…
1997.08,26.8,31.3,34.1,23.2,19.6,117.2,71,37,"1,008.20",20.7,4.9,206,0,2.2,12.3,…
1997.09,20.2,25.4,31.9,15.7,10.3,76.9,63,22,"1,014.40",12.3,3.9,203.2,0,2,9,…
1997.1,13.4,19,26.3,8.2,-2,45.5,55,10,"1,017.60",3.6,2.4,237.6,0,2.4,10,…
1997.11,8.8,13.7,20.2,4.6,-3.2,93.8,61,17,"1,021.90",1,4,166.6,0,2,9,…
1997.12,1.8,5.7,12.8,-1.8,-11.3,38.1,59,20,"1,025.30",-5.8,4.2,145,4.8,2.1,7.7,…
1998.01,-1.3,2.8,8.2,-4.7,-15.4,10.4,59,20,"1,024.90",-8.9,4,161,3.8,2.4,9.7,…
1998.02,3.4,7.8,15,-0.6,-7.7,32.3,59,16,"1,022.10",-4.7,4.1,151.3,14.5,2.4,9,…
1998.03,7.3,12.5,19.1,2.8,-3.2,45.1,58,13,"1,020.50",-1.4,3.6,220.9,0,2.8,9.7,…
1998.04,15.6,20.9,26.3,11.1,1.9,120.2,65,14,"1,015.10",8.4,5.5,164.6,0,2.2,16,…
1998.05,19,24.3,31.4,14,10.4,121.5,59,17,"1,013.50",9.9,5.1,214.8,0,2.2,9,…
1998.06,21.9,26.4,31.8,18,13.2,234.1,67,28,"1,008.50",14.9,6.3,163.7,0,2.1,8,…
1998.07,24.9,28.6,32.2,21.9,19.5,311.8,74,32,"1,005.80",19.9,7,137.2,0,2.5,9,…
1998.08,25,28.8,32,22.1,17.4,"1,237.80",78,41,"1,007.50",20.8,7.5,114.1,0,2,10,…
1998.09,23,27.8,32.8,19,15.4,177.9,70,30,"1,012.50",16.9,5,197.3,0,1.8,8,…
1998.1,17,22,26.5,12.7,4.9,27.4,67,29,"1,018.00",10.5,4.7,202.2,0,1.9,9.7,…
1998.11,7.3,12.2,20.5,3.3,-6.8,26.9,61,20,"1,021.20",0.1,3.5,167.5,2.2,2.2,10,…
1998.12,2.3,6.6,12.9,-1.7,-8.1,3.7,59,16,"1,025.90",-5.3,2.8,185.6,0,2.2,10.7,…
1999.01,-0.8,3.5,12.4,-4.7,-12.2,10.2,58,21,"1,023.10",-8.3,3,184.1,8.4,2.6,10,…
1999.02,0.7,5,10.2,-3.1,-12.3,2.9,60,16,"1,023.20",-6.8,4,159.1,1.2,2.8,10,…
1999.03,6.7,11.7,18.8,1.6,-6.2,55,50,11,"1,018.30",-3.9,4.9,197.7,0,2.5,8.3,…
1999.04,13.9,19.3,28.2,8.7,1.6,97.2,59,11,"1,014.30",5.2,4.4,228.1,0,2.6,9.7,…
1999.05,17.5,22.7,28.1,12.4,10.2,109.7,65,21,"1,010.90",10.2,4.2,235.1,0,2.2,8.7,…
1999.06,23.1,28.3,33.6,18.5,15.8,131.8,68,28,"1,008.30",16.1,5.2,217.5,0,1.8,8.3,…
1999.07,25.9,30,34.9,22.3,18.2,230.4,73,37,"1,005.60",20.4,7.5,130.4,0,2.1,9.7,…
1999.08,26,30.2,35.4,22.3,19.5,600.5,74,36,"1,007.50",24.7,6.4,161.4,0,1.2,11.3,…
1999.09,22.9,27,32,19.4,12.8,377.3,76,28,"1,012.50",18,6.7,119.9,0,1.3,6,…
1999.1,14.3,19.1,24,10,1.5,81.6,70,24,"1,019.70",8.4,4.9,162.4,0,1.1,8,…
1999.11,7.9,12.6,18.6,3.8,-6.1,19.5,65,25,"1,022.00",1.3,3.6,183.5,0,1.3,8.7,…
1999.12,0.4,4.4,12,-3.4,-11.5,17,64,26,"1,025.90",-6.1,3,164.6,5,1.2,9.7,…
2000.01,-2.1,1.7,9.9,-5.7,-12.1,42.8,64,28,"1,026.30",-8.5,4.2,108.3,3.5,2.6,7.6,…
2000.02,-1.7,2.6,7.5,-5.8,-11.6,2.1,56,27,"1,023.10",-9.9,3.2,139.3,1.9,2.7,10.6,…
2000.03,6.3,11.4,18.9,1.7,-4.8,3.1,55,23,"1,017.70",-2.6,3.9,152.8,0,3,12.2,…
2000.04,11.9,16.9,23.5,7.3,1.8,30.7,56,26,"1,012.70",2.7,5,156.6,0,2.9,9.5,…
2000.05,17.5,22.7,30.5,12.9,7.9,75.2,66,26,"1,010.10",10.6,6,138.3,0,2.3,8.3,…
2000.06,23.7,29.2,33.9,19.1,14.6,68.1,65,21,"1,007.10",16.2,6,133,0,1.9,6.6,…
2000.07,26.8,31,34.2,23.1,19.9,114.7,73,29,"1,005.50",21.4,6.8,108.2,0,2.1,9.5,…
2000.08,26.2,30,35.1,22.9,19,599.4,79,26,"1,008.60",21.9,6.6,112.8,0,1.7,9.2,…
2000.09,20.7,24.8,31,17.1,11.9,178.5,71,32,"1,012.80",14.4,6,116.4,0,1.7,12.5,…
2000.1,14.9,19.2,26.5,10.7,3.5,18.1,64,23,"1,019.60",7.7,4.7,131.3,0,1.5,6.6,…
2000.11,7,11.1,20.3,2.7,-3.8,27.1,57,17,"1,024.80",-1.5,4.3,102.6,0,1.8,6.3,…
2000.12,0.9,4.9,11.9,-2.9,-11.4,27,58,22,"1,024.50",-6.8,4,106.6,1.8,2.2,8.1,…
2001.01,-4.2,-0.8,6.8,-7.8,-18.6,39.4,63,36,"1,024.10",-10.5,4.1,97,15.6,2.2,6.6,…
2001.02,-0.3,3.7,12.2,-3.7,-10.4,45.7,61,15,"1,024.40",-7.7,4.4,117,23.4,2.1,6.3,…
2001.03,5,9.6,21,0.9,-6.1,18.1,61,9,"1,015.30",-5,4.4,151,2.8,2.8,8.9,…
2001.04,13.6,19.2,28.2,8.7,2.1,12.3,59,11,"1,015.50",2.3,4.2,177.8,0,2.5,8,…
2001.05,19.1,24.7,31.5,14.8,10.4,16.5,64,16,"1,010.30",10.6,5.1,163.1,0,2.1,7.2,…
2001.06,22.5,27.1,32.7,19.2,15.6,157.4,71,25,"1,007.20",16.4,6.6,100.9,0,1.6,5.9,…
2001.07,25.9,29.9,32.8,22.9,20.3,698.4,80,37,"1,007.00",21,7.2,82.4,0,1.4,6,…
2001.08,26.5,30.8,35.3,22.8,19.4,252,77,19,"1,009.40",20,4.8,168.7,0,1,4.6,…
2001.09,22.5,27.5,31.7,17.9,11,49.3,71,20,"1,014.40",13.3,3.9,179.6,0,1.1,5.3,…
2001.1,16.5,21,25.3,12.4,8.8,68.2,66,21,"1,018.30",9.5,3.9,126.8,0,1.3,5.7,…
2001.11,7,11.5,16,2.9,-3.1,13,65,17,"1,022.00",-1.2,2.6,118.1,0,1.7,6.2,…
2001.12,-0.6,3.4,10.9,-4,-8.8,15.7,64,15,"1,027.60",-10.4,3.1,122.9,3.8,2.1,7.6,…
2002.01,0.3,3.9,13.5,-2.9,-12,37.4,63,22,"1,021.00",-6.4,4.1,100.5,4.8,2.3,7.9,…
2002.02,2.9,7.1,12.6,-0.8,-5.1,2.4,55,13,"1,023.80",-6,3.8,103.9,0,2,7.4,…
2002.03,7.6,12.4,19.4,3.6,-2.9,31.5,55,10,"1,016.80",-1.7,4.3,128.6,0.1,2.1,6.3,…
2002.04,13.6,18.6,27.7,8.8,4.3,155.1,53,8,"1,014.50",3.2,3.8,172.4,0,2.3,11.7,…
2002.05,18.2,23.5,27.7,13.3,10,58,62,12,"1,011.70",10,4.8,175,0,2.3,7.5,…
2002.06,22.2,27.3,32,17.9,14.5,61.4,62,21,"1,007.60",13.9,4.5,162.9,0,2,8.6,…
2002.07,25.2,28.8,34.8,22.2,18.9,220.6,74,43,"1,004.50",20.1,7.1,84.1,0,2.1,7,…
2002.08,24.2,27.5,32.2,21.4,17.9,688,79,36,"1,008.00",20.1,8.1,52.4,0,2,10.4,…
2002.09,21.6,26.1,30.6,17.8,13.5,61.1,67,21,"1,014.40",14.7,4.8,119.4,0,1.6,8.9,…
2002.1,12.8,17.7,24.9,8.8,-0.3,45,60,17,"1,018.00",4.8,3.7,146.7,0,2,10,…
2002.11,4,8,16.7,0.3,-4.8,12.5,55,16,"1,021.90",-4.4,3.7,94.5,2.2,2.4,9.8,…
2002.12,1.7,5.3,15.9,-1.6,-9.1,15,60,21,"1,025.80",-5.9,5,81,1.3,2.2,7.1,…
2003.01,-2.5,1.1,8.7,-5.8,-15.5,14.1,60,21,"1,023.90",-8.6,3.8,92.3,5.3,2.5,9,17.2
2003.02,2.7,6.6,11.9,-0.7,-8.3,39.6,62,17,"1,022.50",-5.1,4.6,95,0.2,2.2,7.6,14.7
2003.03,6.5,10.6,20.9,2.9,-5,26.8,58,19,"1,021.10",-0.9,5.4,104.3,0.5,2.3,7.5,16
2003.04,13.2,17.9,24.6,9,4.8,139.6,60,13,"1,014.90",4.9,5.4,125.8,0,2.5,9,17.7
2003.05,19.6,25,30.4,14.4,8.5,106,57,15,"1,012.40",11.1,4.4,170.7,0,1.8,7.8,13.3
2003.06,21.5,25.8,31.1,18,14.4,156,69,16,"1,006.10",16.2,6.7,101.8,0,2,6.9,11.1
2003.07,23.8,27.7,31.4,20.7,18.3,469.8,75,34,"1,006.70",19,7.6,86.6,0,1.8,7,11
2003.08,24.1,27.6,32.2,21.3,16.6,684.2,77,30,"1,008.70",19.9,7.6,83,0,1.4,6.4,11.8
2003.09,20.9,24.9,28.7,17.5,13.8,258.2,72,19,"1,013.80",15.7,6.3,100.4,0,1.1,6.2,13
2003.1,13.9,19,26,9.6,2.7,41.5,61,19,"1,018.40",5.8,3.4,195.7,0,2,8.6,17.3
2003.11,9.5,13.5,21.3,5.9,-3.2,69.3,66,13,"1,022.90",2.7,5.4,114,0,2,8,17.6
2003.12,0.7,4.4,12,-2.8,-8.1,6.9,59,16,"1,024.70",-6.2,3.1,180.1,1,2.4,7.6,14.6
2004.01,-1.5,2.1,8.1,-4.9,-16.7,19.8,59,16,"1,024.30",-9.3,3.3,176.4,6.3,2.1,7.8,14.8
2004.02,2.3,6.9,18.7,-1.6,-7.8,54.6,56,11,"1,019.90",-6.6,3.5,186.1,7,2.9,11.1,20.7
2004.03,6.3,11.1,18.7,2.1,-5.6,27.6,49,11,"1,020.00",-4.9,3.9,221.6,18.5,2.7,9.2,18.6
2004.04,13.1,18.3,27.3,8.5,2.7,74.1,51,12,"1,013.80",2,3.9,210.3,0,2.7,7.8,15.1
2004.05,17.6,22.2,27.6,13.7,8.8,168.5,68,12,"1,009.40",10.9,5.8,166.9,0,2.6,9.1,17.2
2004.06,23.2,27.7,32.5,19.3,14.6,138.1,64,17,"1,009.60",15.2,6.4,151.5,0,2.1,6.8,12.8
2004.07,24.8,27.7,34.5,22.3,19.5,510.7,82,44,"1,006.90",21.3,7.8,85.4,0,2.3,7.9,14.8
2004.08,26.1,30.2,36.2,22.8,18.7,193.3,70,22,"1,007.90",20.1,6,147.8,0,2.4,7.1,13
2004.09,21.7,26.3,31.3,17.8,12.8,198.7,69,22,"1,014.70",15.3,5.5,168.2,0,2.2,8,15.6
2004.1,15.2,20.8,25.6,10.3,5.3,6.5,54,14,"1,021.00",5.5,2.4,252.6,0,2,6.4,21.8
2004.11,9.1,13.4,21.5,5.3,0.2,80,66,21,"1,022.90",2.8,3.7,156.7,0,2,9.7,21
2004.12,1.9,5.8,16.2,-1.4,-8.3,27.2,56,15,"1,025.20",-6.5,3,193.1,0,2.2,6.6,12.1
2005.01,-2.5,1.5,7.3,-6.2,-11,4.5,52,12,"1,023.20",-11.9,2.7,191.5,1.4,2.4,7.5,15.1
2005.02,-1.9,2.2,10.5,-5.5,-13.1,17.2,49,15,"1,024.50",-12.2,3.5,177.8,1.9,2.8,11,22.5
2005.03,4.1,8.8,17.6,0.2,-6.5,12.5,54,13,"1,019.60",-5.1,3.8,221.9,4.9,2.9,9.5,16.7
2005.04,13.2,18.1,29.8,8.9,4.1,94.7,53,9,"1,014.00",2.9,4.3,199.5,0,3,10.4,18
2005.05,17.7,22.9,30.2,13,6.3,85.8,55,8,"1,010.40",7.4,4.1,235.3,0,2.4,9.3,15.1
2005.06,22.7,27.3,32,19.1,15.5,168.5,69,26,"1,005.70",16.4,6.3,138.3,0,2.4,8.8,15.3
2005.07,25.3,28.8,34.2,22.7,18.3,269.4,76,44,"1,006.20",20.7,7.2,79.4,0,2.2,8,12.6
2005.08,25.1,28.7,35,22.4,16.5,285,75,30,"1,008.50",20.3,6.9,103.1,0,2.6,8.2,15
2005.09,21.8,25.7,30.8,18.6,13.8,313.3,71,30,"1,015.20",16,6.4,113.7,0,2.3,8.4,15.3
2005.1,14.7,19.4,24.9,10.7,3,52.6,65,17,"1,020.00",7.7,3.4,200,0,1.7,5.4,11.1
2005.11,8.6,12.9,21.8,4.6,-1.1,44.6,55,10,"1,020.60",-0.6,2.9,172.5,0,2.2,8.4,16.8
2005.12,-3.9,-0.1,11.1,-7.4,-14,10.3,51,18,"1,025.20",-13.6,2.2,204.1,7.6,2.5,7.6,15.8
2006.01,-0.2,3.4,9.3,-3.3,-10.1,34.3,57,18,"1,025.40",-8.6,4,161.1,1.5,2.1,6.1,12.1
2006.02,0.1,4.2,11.5,-4,-14.1,15.7,53,12,"1,025.90",-9.6,4.3,172.6,7,2.6,8.1,15.6
2006.03,5.2,9.9,17.2,0.9,-6.9,14,51,8,"1,016.90",-5.4,4.2,201.9,2.8,2.9,10.9,20.2
2006.04,11.6,16.2,22.2,7.7,2.9,51.8,55,10,"1,011.00",2,5.9,136,0,3,9.1,16.8
2006.05,18.4,23.4,28.3,14,10.8,156.2,57,13,"1,012.10",9,5.2,199.1,0,2.5,8.6,14.6
2006.06,21.8,26.3,32.4,18.1,14.1,168.5,68,21,"1,007.10",15.1,6.1,155.8,0,2.2,8,13.5
2006.07,23.1,26,30.1,20.9,17.5,"1,014.00",82,43,"1,006.10",19.8,8.7,34.3,0,2.3,9.2,16
2006.08,27,31.1,34.7,23.9,20.8,121.2,69,34,"1,008.40",20.6,5.4,177.1,0,2.1,7.6,16.2
2006.09,21.1,25.7,30.3,16.9,11.3,11.1,58,19,"1,014.80",12.1,4.7,195.7,0,2.1,7.1,13.8
2006.1,17.9,22.6,27.5,13.9,7.9,30.2,62,11,"1,018.80",10.2,3.2,185.2,0,2,8.5,17.1
2006.11,8.4,12.4,20.2,4.5,-1.3,47.6,58,14,"1,020.10",-0.1,4.3,153.5,0.2,2.4,8.1,15.6
2006.12,1.4,5.4,12.6,-2,-12.3,17.3,59,16,"1,026.70",-6.4,3.7,159.4,9,2.1,7.2,14.3
2007.01,0.4,4.1,11.8,-2.8,-7.6,10.8,56,18,"1,026.50",-7.8,3.5,181.9,7.5,2,8,15.5
2007.02,4,8.7,14.8,0.1,-8.6,12.6,53,13,"1,021.30",-5.6,3.3,171.5,-,2.3,8.6,14.8
2007.03,6.1,10.3,16.2,2.3,-7.6,123.5,60,15,"1,018.10",-1.9,5.2,147.1,1.6,2.7,10,18.2
2007.04,11.4,16.1,22.5,7.5,1.6,41.1,53,14,"1,016.00",1.2,4.8,191.8,-,2.8,9.4,18.7
2007.05,18.1,23.4,30.1,13.6,9,137.6,62,17,"1,007.80",10,5.5,197.3,-,2.6,8.7,17.6
2007.06,23.2,27.7,33.2,19.2,14.1,54.5,61,13,"1,008.40",14.3,6.1,175.2,-,2.3,6.9,11.8
2007.07,24.2,27.8,31.2,21.3,17.7,274.1,75,35,"1,004.50",19.2,7.6,91.5,-,2.4,7.3,16.1
2007.08,26.5,29.9,33.2,23.8,19.8,237.6,75,23,"1,008.40",21.5,6.9,105.7,-,2.6,9.9,18.7
2007.09,21.5,25.1,31.1,18.6,14.1,241.9,74,36,"1,012.40",16.6,7.3,85.1,-,2.5,8,13.8
2007.1,15.1,19.6,26.2,11.3,3.2,39.5,63,13,"1,019.70",7.7,4.9,170.9,-,2.1,8,14.5
2007.11,6.7,11.4,19.3,2.8,-5.5,26.4,55,15,"1,023.80",-2.3,3.1,188.5,1.7,2.2,7.7,14.8
2007.12,1.8,5.4,13.8,-1.4,-7.4,12.7,60,24,"1,022.70",-5.5,4,140.8,0.8,2.4,8.5,15.6
2008.01,-1.7,1.9,7.3,-5,-11.1,17.7,50,13,"1,026.50",-11.9,4.5,166.5,6.1,2.3,6.9,12.8
2008.02,-1.2,3.2,10.5,-4.9,-10.1,15,46,12,"1,025.10",-12.6,2.3,224.2,5.5,2.7,8.4,13.8
2008.03,7.3,11.9,19.8,3.7,-1.7,53.9,56,10,"1,018.40",-1.8,4.2,187.3,1,2.6,8.3,12.8
2008.04,14.1,19.5,28,9.3,3.8,38.5,50,11,"1,015.20",2.8,4.6,208.1,-,2.7,10.9,19.7
2008.05,17.7,22.7,28.5,13.1,8.1,97.7,58,10,"1,010.20",8.2,4.8,213.8,-,2.7,8.7,16.6
2008.06,21.5,26.1,29.6,17.6,13.7,165,65,23,"1,009.10",14,6.5,173.8,-,2.7,7.5,12.5
2008.07,25.1,28.4,32.9,22.6,20.2,530.8,78,45,"1,007.00",20.8,8.2,78.7,-,2.4,7.9,15.1
2008.08,25.3,29.5,35.4,21.8,16.3,251.2,69,29,"1,007.50",18.8,5.4,196.6,-,2.5,8.6,15.9
2008.09,22,26.9,32,18,10.3,99.2,64,18,"1,013.30",14.2,5.2,184.6,-,1.9,6.6,11.5
2008.1,16.1,21,28.3,12.1,5.6,41.8,62,22,"1,018.70",8.1,3.9,185.1,-,2,7.2,12.6
2008.11,7.6,11.7,18.4,3.8,-7.2,19.6,58,9,"1,022.10",-0.8,4.3,169.7,-,2.2,8.4,15.7
2008.12,1.1,5,13.3,-2.7,-13.1,25.9,56,16,"1,023.60",-7.2,4.3,157,2.8,2.5,8.2,14.6
2009.01,-2,2.3,12.2,-5.5,-11.4,5.7,50,14,"1,025.50",-11.6,2.5,210.6,5.1,2.5,8.1,15.1
2009.02,2.9,6.8,16.1,-0.6,-8.6,36.9,57,12,"1,020.60",-5.5,5.3,125.6,1.3,2.5,11.9,20.1
2009.03,6,10.6,22.2,1.8,-3.3,63.9,52,13,"1,019.30",-4.2,4.4,202.7,0.3,3.1,8.8,18.1
2009.04,12.7,18,25.8,8.1,2.2,66.5,54,13,"1,015.20",2.4,4.1,204.5,-,2.6,8.6,14.4
2009.05,19.1,24.3,31,14.6,9.8,109,59,15,"1,011.90",9.4,4.3,240.2,-,2.5,8.2,12.8
2009.06,22.4,26.7,32.4,18.8,14.3,132,66,18,"1,004.80",15,5.4,181,-,2.5,8.8,15.3
2009.07,24.3,28.2,32.4,21,18.7,659.4,76,36,"1,004.90",19.4,6.7,115.8,-,2.3,10.4,16.8
2009.08,25.7,29.5,34.4,22.4,16.4,285.3,69,24,"1,008.60",19.1,5.6,150.9,-,2.2,7.1,13.1
2009.09,21.8,26.3,29.9,17.7,14.4,64.5,64,23,"1,013.60",14.1,4,201.6,-,1.8,6.5,10.4
2009.1,16,20.9,26.4,11.7,6.2,66.9,62,23,"1,016.60",8,2.5,236.3,-,2.1,9.7,17.2
2009.11,6.9,10.4,21.8,3.7,-4.3,52.4,64,19,"1,023.60",-,5.1,130.1,-,2.5,6.8,12.3
2009.12,-1,2.5,10.1,-4.2,-12.9,21.5,60,15,"1,022.90",-8.3,3.8,146.1,2.6,2.5,8.3,15.9
2010.01,-4.5,-0.7,8.4,-8.1,-15.3,29.3,65,26,"1,024.60",-10.5,3.7,167.9,25.8,2.3,6.9,11.5
2010.02,1.4,4.9,17.9,-1.7,-10.8,55.3,59,14,"1,021.10",-6.1,4.8,141.2,7.1,2.4,6.6,12.3
2010.03,4.3,8.1,14.2,0.5,-4,82.5,59,13,"1,020.10",-3.9,6.2,133,7.6,2.9,10.2,16.7
2010.04,9.5,14,20.7,5.6,1.1,62.8,54,12,"1,017.80",-0.4,5.2,166.3,-,2.9,10.9,17.2
2010.05,17.2,22,28.6,13,5.8,124,62,21,"1,010.70",8.9,5.4,178.5,-,2.6,9.9,16.2
2010.06,23.4,28.2,32.7,19.3,12.1,127.6,62,12,"1,009.30",14.6,5,203,-,2.1,6,9.9
2010.07,25.8,29.3,32.3,23.1,21,239.2,74,32,"1,007.30",20.3,7.4,89.8,-,2.5,7.9,12.3
2010.08,26.5,30,33.8,23.8,19.9,598.7,78,26,"1,010.00",21.9,7.6,96.5,-,2.4,10.7,16.2
2010.09,21.8,26,31.4,18.5,8.4,671.5,72,25,"1,013.20",16,5.9,146.4,-,2.3,14,21.6
2010.1,14.5,19.3,24.2,10.4,0.7,25.6,61,14,"1,019.00",6.5,3.7,194.6,-,2.2,8.1,14
2010.11,6.5,11.3,17.4,2.5,-5.2,10.9,55,11,"1,021.20",-2.6,3.4,180.3,1.3,2.8,10.5,18
2010.12,-1.3,3.1,13.5,-5.1,-15.1,16.1,56,17,"1,018.00",-9.4,4.1,157.8,9.4,3,9.1,14.4
2011.01,-7.2,-3.4,0.3,-10.5,-17.8,8.9,54,19,"1,027.30",-15.3,2.7,218.5,6,2.8,8,14.4
2011.02,1.2,5.9,13.2,-2.5,-9.2,29.1,55,15,"1,022.10",-7.6,4,166.6,0.2,2.6,10.6,17.4
2011.03,3.6,8.3,16.8,-0.1,-5.5,14.6,51,12,"1,021.40",-6.6,3.3,240.2,1.8,3.4,9.9,15.4
2011.04,10.7,15.6,19,6.8,4.3,110.1,54,10,"1,014.10",0.3,4.7,202.1,-,3.2,9.5,16.4
2011.05,17.9,23,31.2,13.6,8.5,53.4,56,15,"1,010.70",7.9,5.6,180.4,-,2.8,9.7,16.4
2011.06,22,26.6,32.9,18.4,14.4,404.5,67,19,"1,006.50",14.6,6.1,170.8,-,2.9,10.9,19
2011.07,24.6,28,34.1,22,18.9,"1,131.00",79,30,"1,005.70",20.3,8,80.4,-,2.4,9.3,16.7
2011.08,25.8,29.5,34.1,23,18.1,166.8,74,30,"1,008.30",20.5,7.5,94,-,2.5,9.4,15.6
2011.09,21.8,26.6,32.4,17.7,10.3,25.6,58,13,"1,012.80",12.5,4.5,180.4,-,2.4,7.6,15
2011.1,14.2,19.3,23.4,9.7,3.1,32,55,15,"1,020.30",4.3,3.8,215.3,-,2.1,7.1,13.6
2011.11,10.7,14.7,25.9,7.2,-5.5,56.2,60,14,"1,022.70",2.8,6,129.5,-,2.7,9.7,16.1
2011.12,-0.9,2.9,9.1,-4.1,-10.6,7.1,50,15,"1,027.60",-10.5,3.9,195.6,1.2,2.6,7.7,13.3
